巴蒂斯塔	ba di si ta
本尼西奥	ben ni xi ao
彼得奎尔	bi de kui er
不算什么	bu suan shen me
大名鼎鼎的传奇恶棍	da ming ding ding de chuan qi e gun
戴夫	dai fu
德尔托罗	de er tuo luo
德拉克斯	de la ke si
逗萌天团	dou meng tian tuan
范迪塞尔	fan di sai er
格鲁特	ge lu te
格鲁特宝宝	ge lu te bao bao
跟我的过去相比	gen wo de guo qu xiang bi
毁灭者	hui mie zhe
火箭浣熊	huo jian huan xiong
伽罗	jia luo
加美拉	jia mei la
贱走偏疯	jian zou pian feng
卡魔拉	ka mo la
凯伦吉兰	kai lun ji lan
科拉斯	ke la si
克里斯	ke li si
克里星人判官	ke li xing ren pan guan
克里族激进派	ke li zu ji jin pai
库珀	ku po
李佩斯	li pei si
露芬莫德人	lu fen mo de ren
鲁克	lu ke
罗南	luo nan
迈克尔	mai ke er
漫威	man wei
漫威影业	man wei ying ye
漫威宇宙	man wei yu zhou
萌翻银河	meng fan yin he
灭霸	mie ba
灭霸的孙女	mie ba de sun nv
灭霸养女	mie ba yang nv
涅布拉	nie bu la
帕拉特	pa la te
萨诺斯	sa nuo si
山达尔人	shan da er ren
收集者	shou ji zhe
树人格鲁特	shu ren ge lu te
树型外星人	shu xing wai xing ren
索尔达娜	suo er da na
塔纳利尔	ta na li er
太空流氓	tai kong liu mang
提冯	ti feng
听到钱就醒	ting dao qian jiu xing
我是格鲁斯	wo shi ge lu si
我是战士刺客	wo shi zhan shi ci ke
无论未来有多凄惨	wu lun wei lai you duo qi can
星爸	xing ba
星际猎人	xing ji lie ren
星爵	xing jue
星云	xing yun
一帮星际傻缺	yi bang xing ji sha que
伊戈	yi ge
银河天团	yin he tian tuan
勇度	yong du
有危险就睡	you wei xian jiu shui
宇宙女海盗	yu zhou nv hai dao
宇宙长老	yu zhou zhang lao
泽侯贝里族	ze hou bei li zu
詹姆斯古恩	zhan mu si gu en
指控者	zhi kong zhe
佐伊	zuo yi
