阿奇那	a qi na
安禄山	an lu shan
安庆绪	an qing xu
白锦程	bai jin cheng
白芍	bai shao
半城池的无言	ban cheng chi de wu yan
半城池的雨帘	ban cheng chi de yu lian
半城恋	ban cheng lian
半城伤	ban cheng shang
半城雪	ban cheng xue
半城烟	ban cheng yan
宝木中阳	bao mu zhong yang
包小平	bao xiao ping
毕瀚文	bi han wen
闭上眼	bi shang yan
不巧我们都沦陷	bu qiao wo men dou lun xian
不是云巅	bu shi yun dian
不想错过你所有时间	bu xiang cuo guo ni suo you shi jian
曹曦戈	cao xi ge
曾是长风万里的相送	ceng shi chang feng wan li de xiang song
姹紫嫣红都不觉甜	cha zi yan hong dou bu jue tian
缠绕多少遍	chan rao duo shao bian
常铖	chang cheng
常喜	chang xi
潮汐月有盈	chao xi yue you ying
陈冠宁	chen guan ning
陈鸿锦	chen hong jin
陈曦	chen xi
陈希烈	chen xi lie
陈玄礼	chen xuan li
陈援	chen yuan
陈喆伦	chen zhe lun
陈之辉	chen zhi hui
陈周	chen zhou
程元振	cheng yuan zhen
驰骋豪情的天下	chi cheng hao qing de tian xia
春光流泻	chun guang liu xie
春光如练	chun guang ru lian
此情动我幽幽	ci qing dong wo you you
从天边到眼前	cong tian bian dao yan qian
崔彩屏	cui cai ping
大梦醒	da meng xing
大移地建	da yi di jian
待离别	dai li bie
得此一生	de ci yi sheng
得又扔	de you reng
等着细雨停歇	deng zhe xi yu ting xie
董冬冬	dong dong dong
东则布	dong ze bu
都付诸于狂澜	dou fu zhu yu kuang lan
都是为了江山	dou shi wei le jiang shan
独孤贵妃	du gu gui fei
独孤靖瑶	du gu jing yao
杜源	du yuan
段思思	duan si si
多色绚丽的斑斓	duo se xuan li de ban lan
多少恩	duo shao en
多少怨	duo shao yuan
恩重情浓	en zhong qing nong
范梦	fan meng
方晓莉	fang xiao li
飞刀拔剑力挽	fei dao ba jian li wan
飞花落红	fei hua luo hong
飞扬飘零的黄沙	fei yang piao ling de huang sha
风干已锈红的誓签	feng gan yi xiu hong de shi qian
冯粒	feng li
冯盛	feng sheng
风生衣	feng sheng yi
风啸长空	feng xiao chang kong
风雨中	feng yu zhong
浮生浅	fu sheng qian
感情线	gan qing xian
甘世佳	gan shi jia
高力士	gao li shi
耿黎明	geng li ming
辜德超	gu de chao
广平王	guang ping wang
归去在	gui qu zai
郭芮溪	guo rui xi
裹着云烟	guo zhe yun yan
郭政建	guo zheng jian
郭子仪	guo zi yi
哈丝丽	ha si li
韩国夫人	han guo fu ren
韩昊霖	han hao lin
寒手失温度	han shou shi wen du
韩志杰	han zhi jie
郝幽玥	hao you yue
何灵依	he ling yi
贺强	he qiang
红蕊	hong rui
黄天崎	huang tian qi
回荡在心间	hui dang zai xin jian
回纥可汗	hui he ke han
挥手时	hui shou shi
回忆殉葬阑珊处	hui yi xun zang lan shan chu
蕙质兰心	hui zhi lan xin
豁然间	huo ran jian
霍尊	huo zun
建宁王	jian ning wang
建宁王妃	jian ning wang fei
姜氏	jiang shi
金芮	jin rui
锦绣长安夜	jin xiu chang an ye
锦绣玲珑	jin xiu ling long
金樽玉盏不换	jin zun yu zhan bu huan
静谧千年的思念	jing mi qian nian de si nian
景甜	jing tian
旧梦深埋成千古	jiu meng shen mai cheng qian gu
可一路	ke yi lu
铿锵的温柔	keng qiang de wen rou
李白	li bai
李承寀	li cheng cai
李俶	li chu
李春良	li chun liang
李婼	li chuo
李辅国	li fu guo
李光弼	li guang bi
李亨	li heng
李力	li li
李泌	li mi
李诗萌	li shi meng
李思琪	li si qi
李倓	li tan
李天柱	li tian zhu
李系	li xi
李雪漫	li xue man
丽阳	li yang
李猪儿	li zhu er
链锁在那凄美中摇曳	lian suo zai na qi mei zhong yao ye
梁婧娴	liang jing xian
林强	lin qiang
林雪	lin xue
灵儿	ling er
刘晨霞	liu chen xia
刘琮	liu cong
刘芳	liu fang
留给时间来了断	liu gei shi jian lai liao duan
刘国楠	liu guo nan
刘露	liu lu
刘芊含	liu qian han
刘润	liu run
刘威葳	liu wei wei
刘校妤	liu xiao yu
刘妍	liu yan
卢星宇	lu xing yu
卢莹	lu ying
栾杰	luan jie
落花时节	luo hua shi jie
罗米	luo mi
吕鹏	lv peng
马程程	ma cheng cheng
马林	ma lin
马闻远	ma wen yuan
马晓峰	ma xiao feng
漫长的夙念	man chang de su nian
漫长等待牵挂的容颜	man chang deng dai qian gua de rong yan
茅子俊	mao zi jun
梦回间	meng hui jian
梦一生	meng yi sheng
米咪	mi mi
灭又生	mie you sheng
命运从此转一圈	ming yun cong ci zhuan yi quan
墨浓映画眉	mo nong ying hua mei
默延啜	mo yan chuo
慕容林致	mu rong lin zhi
尼比辈	ni bi bei
你的出现	ni de chu xian
你会成山水间那一点	ni hui cheng shan shui jian na yi dian
你是春的使节	ni shi chun de shi jie
你素颜	ni su yan
你我的心	ni wo de xin
你我缘尽道分镳扬	ni wo yuan jin dao fen biao yang
念一生	nian yi sheng
暖心不复追	nuan xin bu fu zhui
裴良娣	pei liang di
偏偏天不随人愿	pian pian tian bu sui ren yuan
朴铄	pu shuo
前尘事都入土	qian chen shi dou ru tu
乔诗语	qiao shi yu
秦汉	qin han
秦俊杰	qin jun jie
青空绵绵	qing kong mian mian
邱秋	qiu qiu
却难相连	que nan xiang lian
却总有遗憾沉淀	que zong you yi han chen dian
染成青黛的天	ran cheng qing dai de tian
让残雪融解	rang can xue rong jie
任嘉伦	ren jia lun
人生如秋	ren sheng ru qiu
任学海	ren xue hai
荣耀	rong yao
荣耀青松	rong yao qing song
