爱丽丝	ai li si
爱丽丝酱	ai li si jiang
安吾睡了	an wu shui le
坂口安吾	ban kou an wu
绷带浪费装置	beng dai lang fei zhuang zhi
超推理	chao tui li
哒宰	da zai
打宰	da zai
哒宰桑	da zai sang
独步吟客	du bu yin ke
费佳	fei jia
福泽谕吉	fu ze yu ji
港口黑手党	gang kou hei shou dang
宫泽贤治	gong ze xian zhi
谷崎润一郎	gu qi run yi lang
果戈理	guo ge li
国妈	guo ma
国木田独步	guo mu tian du bu
果子狸	guo zi li
好心的俄罗斯毛子	hao xin de e luo si mao zi
好心的俄罗斯人	hao xin de e luo si ren
黑蜥蜴	hei xi yi
横滨歌姬	heng bin ge ji
横滨开锁王	heng bin kai suo wang
华丽的菲茨杰拉德	hua li de fei ci jie la de
荒霸吐	huang ba tu
江户川乱步	jiang hu chuan luan bu
芥川龙之介	jie chuan long zhi jie
芥川银	jie chuan yin
剧本组	ju ben zu
兰波	lan bo
老实人	lao shi ren
猎犬	lie quan
龙头战争	long tou zhan zheng
罗生门	luo sheng men
帽子放置所	mao zi fang zhi suo
帽子是本体	mao zi shi ben ti
魔人	mo ren
漆黑的小矮人	qi hei de xiao ai ren
请君勿死	qing jun wu si
清气爽朗且充满朝气的自杀	qing qi shuang lang qie chong man zhao qi de zi sha
人间失格	ren jian shi ge
人上人不造	ren shang ren bu zao
入水	ru shui
若合我意一切皆好	ruo he wo yi yi qie jie hao
涩泽龙彦	se ze long yan
森鸥外	sen ou wai
手握剧本的男人	shou wo ju ben de nan ren
帅气的帽子先生	shuai qi de mao zi xian sheng
死屋之鼠	si wu zhi shu
酥败	su bai
太宰治	tai zai zhi
天衣无缝	tian yi wu feng
条野	tiao ye
铁肠	tie chang
陀思	tuo si
陀思妥耶夫斯基	tuo si tuo ye fu si ji
无畏风雨	wu wei feng yu
武装侦探社	wu zhuang zhen tan she
污浊了的忧伤	wu zhuo le de you shang
西格玛	xi ge ma
细雪	xi xue
夏目漱石	xia mu shu shi
殉情	xun qing
眼镜是本体	yan jing shi ben ti
异能特务科	yi neng te wu ke
与谢野晶子	yu xie ye jing zi
月下兽	yue xia shou
织田作之助	zhi tian zuo zhi zhu
中岛敦	zhong dao dun
中原中也	zhong yuan zhong ye
组合	zu he
罪与罚	zui yu fa
