爱别离	ai bie li
奥尔迪斯	ao er di si
巴拉德	ba la de
保修	bao xiu
布赖恩奥尔迪斯	bu lai en ao er di si
不容分庭抗礼	bu rong fen ting kang li
不死药	bu si yao
彩色电视机	cai se dian shi ji
超导线圈	chao dao xian quan
潮啸如枪	chao xiao ru qiang
沉船	chen chuan
达科苏文	da ke su wen
帝国双星	di guo shuang xing
帝国双星一不速之客	di guo shuang xing yi bu su zhi ke
地球历险记	di qiu li xian ji
第三次浪潮	di san ci lang chao
电子计算机	dian zi ji suan ji
对策	dui ce
发动机动作参数	fa dong ji dong zuo can shu
风水	feng shui
弗兰肯斯坦	fu lan ken si tan
高灵敏度天线阵列	gao ling min du tian xian zhen lie
哥伦布是个傻瓜	ge lun bu shi ge sha gua
根斯巴克	gen si ba ke
骇客时空	hai ke shi kong
海豚岛	hai tun dao
海因莱因和他的星船伞兵	hai yin lai yin he ta de xing chuan san bing
核裂变	he lie bian
花卉研究所	hua hui yan jiu suo
黄金故事	huang jin gu shi
机关布景派	ji guan bu jing pai
机器时代	ji qi shi dai
技术故障	ji shu gu zhang
机械公路	ji xie gong lu
考察地球	kao cha di qiu
科幻世界	ke huan shi jie
傀儡主人	kui lei zhu ren
莱斯利菲德勒	lai si li fei de le
蓝血人	lan xue ren
老猫	lao mao
离群索居	li qun suo ju
六道众生	liu dao zhong sheng
罗宾逊	luo bin xun
罗伯特海因莱因	luo bo te hai yin lai yin
玛丽雪莱	ma li xue lai
麦克鲁安	mai ke lu an
你们这些回魂尸	ni men zhe xie hui hun shi
球状闪电	qiu zhuang shan dian
儒勒凡尔纳	ru le fan er na
软科幻	ruan ke huan
软科幻与硬科幻	ruan ke huan yu ying ke huan
商业之神	shang ye zhi shen
生命线	sheng ming xian
生死平衡	sheng si ping heng
生态循环系统	sheng tai xun huan xi tong
数字生命	shu zi sheng ming
思索时间的推销者	si suo shi jian de tui xiao zhe
太空漫游	tai kong man you
太空抢险	tai kong qiang xian
碳氢化合物	tan qing hua he wu
羰基生物	tang ji sheng wu
特别的生日礼物	te bie de sheng ri li wu
天堂里的喷泉	tian tang li de pen quan
同是天涯沦落人	tong shi tian ya lun luo ren
同一数量级	tong yi shu liang ji
头发	tou fa
小镇的振兴	xiao zhen de zhen xing
星船伞兵	xing chuan san bing
星际尘埃	xing ji chen ai
星际战争	xing ji zhan zheng
一把刀	yi ba dao
遗弃之神	yi qi zhi shen
一夜疯狂	yi ye feng kuang
意义极短篇	yi yi ji duan pian
硬科幻	ying ke huan
与拉玛会合	yu la ma hui he
宇宙航行	yu zhou hang xing
约翰克鲁	yue han ke lu
张扬的间谍	zhang yang de jian die
支离人	zhi li ren
朱迪丝麦里尔	zhu di si mai li er
紫外探测器	zi wai tan ce qi
