阿澄佳奈	a cheng jia nai
艾克蕾尔马尔迪诺基	ai ke lei er ma er di nuo ji
艾克塞利德	ai ke sai li de
艾克斯玛提那	ai ke si ma ti na
巴拉迪昂	ba la di ang
爆炎斩	bao yan zhan
贝尔法布林塔	bei er fa bu lin ta
毕欧蕾	bi ou lei
比斯科迪共和国	bi si ke di gong he guo
比斯科迪骑士团	bi si ke di qi shi tuan
伯纳德将军	bo na de jiang jun
布丽奥修达尔基昂	bu li ao xiu da er ji ang
布里欧修	bu li ou xiu
从云	cong yun
达尔基安	da er ji an
丹下樱	dan xia ying
伐魔的剑圣达尔基安	fa mo de jian sheng da er ji an
弗兰波瓦兹夏路雷	fu lan bo wa zi xia lu lei
弗洛尼尔德	fu luo ni er de
高尔	gao er
高卢加雷特德罗瓦	gao lu jia lei te de luo wa
高桥美佳子	gao qiao mei jia zi
葛荣将军	ge rong jiang jun
弓术	gong shu
宫野真守	gong ye zhen shou
古兰贝尔	gu lan bei er
滑翔板暴风使者	hua xiang ban bao feng shi zhe
花泽香菜	hua ze xiang cai
加雷特	jia lei te
加雷特狮子团	jia lei te shi zi tuan
洁诺瓦兹	jie nuo wa zi
堀江由衣	ku jiang you yi
濑户麻沙美	lai hu ma sha mei
狼牙苍卷	lang ya cang juan
雷昂	lei ang
蕾昂米修莉加雷特德罗瓦	lei ang mi xiu li jia lei te de luo wa
蕾蓓卡安德森	lei bei ka an de sen
雷欧	lei ou
蕾欧公主	lei ou gong zhu
利歌塔埃玛	li ge ta ai ma
莉柯达	li ke da
莉泽露珂姬莉艾	li ze lu ke ji li ai
烈风斩	lie feng zhan
裂空	lie kong
路久	lu jiu
罗兰	luo lan
罗兰马尔迪诺基	luo lan ma er di nuo ji
洛伦	luo lun
米尔希	mi er xi
米希	mi xi
米希奥蕾公主	mi xi ao lei gong zhu
诺瓦鲁可可酒	nuo wa lu ke ke jiu
平田真菜	ping tian zhen cai
气力	qi li
乔奴克拉芙缇	qiao nu ke la fu ti
日笠阳子	ri li yang zi
若本规夫	ruo ben gui fu
闪华双烈	shan hua shuang lie
闪空	shan kong
神剑	shen jian
神狼灭牙	shen lang mie ya
圣剑	sheng jian
十文字	shi wen zi
柿原彻也	shi yuan che ye
狮子团	shi zi tuan
狮子王烈火	shi zi wang lie huo
寿美菜子	shou mei cai zi
双人纹章技	shuang ren wen zhang ji
水树奈奈	shui shu nai nai
寺本来可	si ben lai ke
体术	ti shu
天光霸阵	tian guang ba zhen
天狐的土地神	tian hu de tu di shen
纹章技	wen zhang ji
小清水亚美	xiao qing shui ya mei
小野大辅	xiao ye da fu
星咏	xing yong
雪风	xue feng
雪风式隐术	xue feng shi yin shu
亚美丽塔托兰贝	ya mei li ta tuo lan bei
隐秘部队	yin mi bu dui
樱井孝宏	ying jing xiao hong
咏送咒语	yong song zhou yu
永田依子	yong tian yi zi
勇者	yong zhe
尤基卡泽帕尼托尼	you ji ka ze pa ni tuo ni
障壁阵	zhang bi zhen
真红和泉	zhen hong he quan
竹达彩奈	zhu da cai nai
子安武人	zi an wu ren
