阿超	a chao
阿尔敏	a er min
阿尔敏亚鲁雷特	a er min ya lu lei te
阿卡曼	a ka man
阿铠	a kai
阿克曼	a ke man
阿克曼夫妇	a ke man fu fu
阿克曼夫妻	a ke man fu qi
阿克曼族人	a ke man zu ren
阿明	a ming
阿明阿诺德	a ming a nuo de
阿尼	a ni
阿尼利昂纳德	a ni li ang na de
阿诺德	a nuo de
埃尔德	ai er de
埃尔德琴	ai er de qin
艾尔迪亚帝国	ai er di ya di guo
艾尔迪亚人	ai er di ya ren
爱尔敏	ai er min
埃尔文	ai er wen
埃尔温	ai er wen
艾尔文	ai er wen
艾尔文史密斯	ai er wen shi mi si
艾利	ai li
艾连	ai lian
艾连叶卡	ai lian ye ka
艾鲁多	ai lu duo
艾鲁多琴	ai lu duo qin
艾伦	ai lun
艾伦巨人	ai lun ju ren
艾伦耶格尔	ai lun ye ge er
艾维尔	ai wei er
艾维尔斯密斯	ai wei er si mi si
安济知佳	an ji zhi jia
安卡	an ka
奥路欧	ao lu ou
奥路欧博查特	ao lu ou bo cha te
巴纳	ba na
白薯女	bai shu nv
坂口候一	ban kou hou yi
贝尔托特	bei er tuo te
贝尔托特胡佛	bei er tuo te hu fo
贝莱	bei lai
贝利库	bei li ku
贝利亚德	bei li ya de
贝特霍尔德	bei te huo er de
贝特霍尔德胡佛	bei te huo er de hu fo
兵长	bing zhang
兵长一米六	bing zhang yi mi liu
博查特	bo cha te
波扎德	bo zha de
波扎特	bo zha te
布施川一宽	bu shi chuan yi kuan
不战之誓	bu zhan zhi shi
超大巨人	chao da ju ren
超大型巨人	chao da xing ju ren
川田绅司	chuan tian shen si
村上裕哉	cun shang yu zai
达里斯	da li si
达里斯萨克雷	da li si sa ke lei
达里斯扎卡里	da li si zha ka li
达特皮克希斯	da te pi ke xi si
大隈健太	da wei jian tai
达兹	da zi
嶋村侑	dao cun you
调查兵团	diao cha bing tuan
多托	duo tuo
多托匹克西斯	duo tuo pi ke xi si
多托皮克西斯	duo tuo pi ke xi si
多托匹西斯	duo tuo pi xi si
厄特加尔	e te jia er
鄂之巨人	e zhi ju ren
法兰兹	fa lan zi
逢坂良太	feng ban liang tai
腹肌笠	fu ji li
弗兰兹	fu lan zi
高桥研二	gao qiao yan er
格里沙	ge li sha
格里沙耶格尔	ge li sha ye ge er
格鲁嘎	ge lu ga
格鲁噶	ge lu ga
古利夏	gu li xia
古利夏叶卡	gu li xia ye ka
谷山纪章	gu shan ji zhang
古斯塔夫	gu si ta fu
怪人	guai ren
広濑有香	guang lai you xiang
衮达	gun da
衮达舒尔茨	gun da shu er ci
汉吉	han ji
韩吉	han ji
汉吉佐娜	han ji zuo na
汉吉佐耶	han ji zuo ye
韩吉佐耶	han ji zuo ye
汉娜	han na
汉尼斯	han ni si
赫莉丝塔	he li si ta
赫里斯塔	he li si ta
赫莉丝塔兰斯	he li si ta lan si
赫里斯塔兰斯	he li si ta lan si
红莲的弓矢	hong lian de gong shi
红莲弓矢	hong lian gong shi
