碍于面子	ai yu mian zi
碍于心理障碍	ai yu xin li zhang ai
暗保	an bao
暗兵	an bing
暗亏	an kui
暗令	an ling
安全出炸	an quan chu zha
暗炸	an zha
暗子力	an zi li
靶子效应	ba zi xiao ying
白吃	bai chi
包角雷	bao jiao lei
暴露	bao lu
被吃	bei chi
被动令子言杀	bei dong ling zi yan sha
被动明司令	bei dong ming si ling
被动伪装	bei dong wei zhuang
北极星	bei ji xing
比赛	bi sai
必胜模式	bi sheng mo shi
避实击虚	bi shi ji xu
边锋	bian feng
贬值处理	bian zhi chu li
搏地雷	bo di lei
波克	bo ke
搏雷区	bo lei qu
不避令子无以成杀	bu bi ling zi wu yi cheng sha
不出令子何以言杀	bu chu ling zi he yi yan sha
布局防御	bu ju fang yu
布局阶段	bu ju jie duan
不跨级吃子	bu kua ji chi zi
残局	can ju
残局基本功	can ju ji ben gong
残局阶段	can ju jie duan
侧位隔断	ce wei ge duan
常识法	chang shi fa
超时	chao shi
沉底	chen di
沉角	chen jiao
吃子	chi zi
重山雾剑	chong shan wu jian
冲炸	chong zha
初学者	chu xue zhe
打兑	da dui
大局	da ju
大局观	da ju guan
大局指导细节	da ju zhi dao xi jie
大亏	da kui
打明大子	da ming da zi
大思想	da si xiang
大小价值	da xiao jia zhi
大战略	da zhan lue
大赚	da zhuan
大子	da zi
单家单项双抓	dan jia dan xiang shuang zhua
单家三抓	dan jia san zhua
单家双项双抓	dan jia shuang xiang shuang zhua
单家双抓	dan jia shuang zhua
单家一抓	dan jia yi zhua
挡三线	dang san xian
挡五线	dang wu xian
挡一线	dang yi xian
等待炸	deng dai zha
地雷	di lei
第一道防线	di yi dao fang xian
底营	di ying
点和	dian he
调度	diao du
叠雷	die lei
多令子	duo ling zi
二打一	er da yi
二线中	er xian zhong
反吃	fan chi
反推法	fan tui fa
防御炸	fang yu zha
飞花逐月	fei hua zhu yue
非军旗侧	fei jun qi ce
飞雷	fei lei
废棋	fei qi
封挡	feng dang
封副线	feng fu xian
封锁战术	feng suo zhan shu
封一线	feng yi xian
封主线	feng zhu xian
复盘	fu pan
隔断	ge duan
隔断炸	ge duan zha
工兵	gong bing
攻击顺序模式	gong ji shun xu mo shi
攻其所必救	gong qi suo bi jiu
固定形势的攻击模式	gu ding xing shi de gong ji mo shi
挂角	gua jiao
观察法	guan cha fa
关键步	guan jian bu
规避	gui bi
规避风险	gui bi feng xian
规避炸	gui bi zha
诡道	gui dao
好烦	hao fan
河东狮吼	he dong shi hou
横向比较	heng xiang bi jiao
花步	hua bu
花式军棋	hua shi jun qi
基本功	ji ben gong
基础理论	ji chu li lun
纪律性	ji lv xing
积小优为大优	ji xiao you wei da you
集中兵力	ji zhong bing li
假官	jia guan
假军旗	jia jun qi
假炸护真炸	jia zha hu zhen zha
价值体系	jia zhi ti xi
