阿怪	a guai
阿牛	a niu
阿司匹林	a si pi lin
爱爱爱爱到要吐	ai ai ai ai dao yao tu
爱到疯	ai dao feng
爱的傀儡	ai de kui lei
爱过的成熟了	ai guo de cheng shu le
爱过的成熟了犯错只因失恋太少	ai guo de cheng shu le fan cuo zhi yin shi lian tai shao
爱侣爱到一个地步	ai lv ai dao yi ge di bu
爱没有左右	ai mei you zuo you
爱你入骨	ai ni ru gu
爱拼才会赢	ai pin cai hui ying
爱情不过是这样	ai qing bu guo shi zhe yang
爱情不停站	ai qing bu ting zhan
爱情幼稚	ai qing you zhi
爱情转移	ai qing zhuan yi
爱若难以放进手里	ai ruo nan yi fang jin shou li
爱上了看见你	ai shang le kan jian ni
爱上你是我眼睛的错	ai shang ni shi wo yan jing de cuo
爱是妒忌	ai shi du ji
爱是怀疑	ai shi huai yi
爱是怀疑爱是妒忌	ai shi huai yi ai shi du ji
爱是一本书	ai shi yi ben shu
爱是用心吗不要说话	ai shi yong xin ma bu yao shuo hua
爱是种近乎幻想的真理	ai shi zhong jin hu huan xiang de zhen li
爱一个人是不是应该有默契	ai yi ge ren shi bu shi ying gai you mo qi
安守本分	an shou ben fen
拔河	ba he
把快乐赶得好远	ba kuai le gan de hao yuan
八里公路	ba li gong lu
拜访	bai fang
白玫瑰	bai mei gui
白色球鞋	bai se qiu xie
保持安全范围	bao chi an quan fan wei
暴殄天物	bao tian tian wu
贝多芬与我	bei duo fen yu wo
被偏爱的都有恃无恐	bei pian ai de dou you shi wu kong
本质上都是一样	ben zhi shang dou shi yi yang
比渴望地老天荒	bi ke wang di lao tian huang
闭起双眼你最挂念谁	bi qi shuang yan ni zui gua nian shui
闭起双眼我最挂念谁	bi qi shuang yan wo zui gua nian shui
便另觅安慰	bian ling mi an wei
变色龙	bian se long
表情需要勉强	biao qing xu yao mian qiang
别当你要奋勇血战	bie dang ni yao fen yong xue zhan
别遗忘有人在为你声沙	bie yi wang you ren zai wei ni sheng sha
不懂怎去再聊天	bu dong zen qu zai liao tian
不够爆炸	bu gou bao zha
不过我肯等	bu guo wo ken deng
不会俗气	bu hui su qi
不良嗜好	bu liang shi hao
不能尽欢爱总是苦短	bu neng jin huan ai zong shi ku duan
不能相爱的一对	bu neng xiang ai de yi dui
不能在等待	bu neng zai deng dai
不求人	bu qiu ren
不然你要我怎么样	bu ran ni yao wo zen me yang
不如不见	bu ru bu jian
不如这样	bu ru zhe yang
不睡	bu shui
不想放手	bu xiang fang shou
不要紧当天放弃我的是你今	bu yao jin dang tian fang qi wo de shi ni jin
不要说话	bu yao shuo hua
不要想得那么抽象	bu yao xiang de na me chou xiang
不影响你笑脸迎人	bu ying xiang ni xiao lian ying ren
不再去说从前只是寒暄	bu zai qu shuo cong qian zhi shi han xuan
不再问究竟	bu zai wen jiu jing
不只所措的人我真的心疼	bu zhi suo cuo de ren wo zhen de xin teng
不知所谓	bu zhi suo wei
猜猜情寻猜猜情寻	cai cai qing xun cai cai qing xun
猜猜情寻虽不如人	cai cai qing xun sui bu ru ren
猜猜寻	cai cai xun
才可与我常在	cai ke yu wo chang zai
惨淡在是我不知不能回头	can dan zai shi wo bu zhi bu neng hui tou
残忍的单恋非你专利	can ren de dan lian fei ni zhuan li
残忍的是人会成长	can ren de shi ren hui cheng zhang
曾爱惜的总要放手	ceng ai xi de zong yao fang shou
曾呼吸过空气	ceng hu xi guo kong qi
长留恋于你家	chang liu lian yu ni jia
超人的主题曲	chao ren de zhu ti qu
超人迪加	chao ren di jia
臣服百万人	chen fu bai wan ren
陈奕迅	chen yi xun
陈奕迅跨世纪国语精选	chen yi xun kua shi ji guo yu jing xuan
陈奕迅之音乐国度	chen yi xun zhi yin yue guo du
成熟地表演	cheng shu de biao yan
吃好些我想应该会好一点	chi hao xie wo xiang ying gai hui hao yi dian
宠爱	chong ai
冲口而出	chong kou er chu
重来没相识以不在	chong lai mei xiang shi yi bu zai
臭美	chou mei
除非你是我	chu fei ni shi wo
除非你是我才可与我常在	chu fei ni shi wo cai ke yu wo chang zai
除了力气当然也讲命	chu le li qi dang ran ye jiang ming
吹微风	chui wei feng
春光乍泄	chun guang zha xie
春天就在你脚尖	chun tian jiu zai ni jiao jian
赐予世界更丰富爱恨	ci yu shi jie geng feng fu ai hen
从你工作间带走废纸是我	cong ni gong zuo jian dai zou fei zhi shi wo
从前并肩的好兄弟	cong qian bing jian de hao xiong di
