阿尔法	a er fa
阿尔法唱片	a er fa chang pian
爱才送到你却已在别人怀抱	ai cai song dao ni que yi zai bie ren huai bao
爱可不可以简简单单没有伤害	ai ke bu ke yi jian jian dan dan mei you shang hai
爱能不能够永远单纯没有悲哀	ai neng bu neng gou yong yuan dan chun mei you bei ai
爱情俘虏	ai qing fu lu
爱情悬崖	ai qing xuan ya
爱是不是不开口才珍贵	ai shi bu shi bu kai kou cai zhen gui
爱在西元前	ai zai xi yuan qian
爱做梦的鱼	ai zuo meng de yu
暗号	an hao
安静	an jing
肮脏的香味我吸了太多太多	ang zang de xiang wei wo xi le tai duo tai duo
嗷咿吆嗷咿吆咿	ao yi yao ao yi yao yi
嗷咿吆嗷咿吆咿嘿	ao yi yao ao yi yao yi hei
八度空间	ba du kong jian
爸和妈当年的模样	ba he ma dang nian de mu yang
把结局打开那薄如蝉翼的未来	ba jie ju da kai na bo ru chan yi de wei lai
爸我回来了	ba wo hui lai le
败坏了风气	bai huai le feng qi
白色风车	bai se feng che
白色蜡烛温暖了空屋	bai se la zhu wen nuan le kong wu
白色羽毛	bai se yu mao
半岛铁盒	ban dao tie he
半兽人	ban shou ren
保持着杀气想赢的情绪	bao chi zhe sha qi xiang ying de qing xu
包括像猫的狗	bao kuo xiang mao de gou
抱一抱	bao yi bao
被动的缘分很不可靠	bei dong de yuan fen hen bu ke kao
北斗星	bei dou xing
被风吹乱	bei feng chui luan
北风乱夜未央	bei feng luan ye wei yang
被期待被覆盖	bei qi dai bei fu gai
悲伤的斜对面	bei shang de xie dui mian
本来讨厌下雨的天空	ben lai tao yan xia yu de tian kong
闭上眼睛还能看见	bi shang yan jing hai neng kan jian
比我知道	bi wo zhi dao
表错情的感觉有一点糟	biao cuo qing de gan jue you yi dian zao
表情不用太紧张	biao qing bu yong tai jin zhang
表情开我玩笑	biao qing kai wo wan xiao
别让我的地球变暗	bie rang wo de di qiu bian an
别融化了眼泪	bie rong hua le yan lei
别太冷像我一样就刚好	bie tai leng xiang wo yi yang jiu gang hao
别再跟我哈啦	bie zai gen wo ha la
冰刀划的	bing dao hua de
冰上的芭蕾	bing shang de ba lei
玻璃上有雾气在被隐藏起过去	bo li shang you wu qi zai bei yin cang qi guo qu
不爱我的画面	bu ai wo de hua mian
不代表懦夫	bu dai biao nuo fu
不告而别	bu gao er bie
不关心天气预报	bu guan xin tian qi yu bao
不好笑不好笑不好笑	bu hao xiao bu hao xiao bu hao xiao
不会哭的人	bu hui ku de ren
不会写词都像个诗人	bu hui xie ci dou xiang ge shi ren
布拉格广场	bu la ge guang chang
不能说的秘密	bu neng shuo de mi mi
不是不想	bu shi bu xiang
不是因为在乎	bu shi yin wei zai hu
不是用来演一出糜烂的黑色喜剧	bu shi yong lai yan yi chu mi lan de hei se xi ju
不停犯错	bu ting fan cuo
不停推拖	bu ting tui tuo
不想说选择对手跟要打的仗	bu xiang shuo xuan ze dui shou gen yao da de zhang
不想问我只想要留一点汗	bu xiang wen wo zhi xiang yao liu yi dian han
不要怕露出胸膛	bu yao pa lou chu xiong tang
不要再这样打我妈妈	bu yao zai zhe yang da wo ma ma
不用担心的太多我会一直好好过	bu yong dan xin de tai duo wo hui yi zhi hao hao guo
不用麻烦不用麻烦了不用麻烦了	bu yong ma fan bu yong ma fan le bu yong ma fan le
不用麻烦了不用麻烦了	bu yong ma fan le bu yong ma fan le
不用怕告诉他们谁是男子汉	bu yong pa gao su ta men shui shi nan zi han
不用问一定有人向你挑战	bu yong wen yi ding you ren xiang ni tiao zhan
惨白的月弯弯勾住过往	can bai de yue wan wan gou zhu guo wang
残缺的老茶壶	can que de lao cha hu
草原上两只敌对野牛	cao yuan shang liang zhi di dui ye niu
差不多一米宽的信仰	cha bu duo yi mi kuan de xin yang
禅定的风静如水的松	chan ding de feng jing ru shui de song
产生共鸣来阻止一切暴力	chan sheng gong ming lai zu zhi yi qie bao li
唱歌的人最快乐	chang ge de ren zui kuai le
唱着歌一直走	chang zhe ge yi zhi zou
潮起潮落	chao qi chao luo
扯多你就会上瘾	che duo ni jiu hui shang yin
扯铃	che ling
扯你最善变的表情	che ni zui shan bian de biao qing
沉沦假象你只会感到更加沮丧	chen lun jia xiang ni zhi hui gan dao geng jia ju sang
沉默年代或许不该	chen mo nian dai huo xu bu gai
赤手空拳就缩成蚂蚁	chi shou kong quan jiu suo cheng ma yi
冲你懂你懂你匆匆	chong ni dong ni dong ni cong cong
愁莫渡江	chou mo du jiang
触电	chu dian
除非是万不得已我尽量射橡皮筋	chu fei shi wan bu de yi wo jin liang she xiang pi jin
除非是乌鸦抢了他的窝	chu fei shi wu ya qiang le ta de wo
穿过云层我试著努力向你奔跑	chuan guo yun ceng wo shi zhu nu li xiang ni ben pao
传说就成了永垂不朽的诗篇	chuan shuo jiu cheng le yong chui bu xiu de shi pian
穿着要个性	chuan zhe yao ge xing
炊烟袅袅升起隔江千万里	chui yan niao niao sheng qi ge jiang qian wan li
吹着前奏望着天空	chui zhe qian zou wang zhe tian kong
从不跟别人比较	cong bu gen bie ren bi jiao
从出生那年就飘着	cong chu sheng na nian jiu piao zhe
从前从前有个人爱你很久	cong qian cong qian you ge ren ai ni hen jiu
从前的教育别人的家庭	cong qian de jiao yu bie ren de jia ting
从小到大只有妈妈的温暖	cong xiao dao da zhi you ma ma de wen nuan
催泪	cui lei
大灌篮	da guan lan
打开爱	da kai ai
打乱我呼吸节拍	da luan wo hu xi jie pai
大声讲出心内的话	da sheng jiang chu xin nei de hua
大峡谷的风呼啸而过	da xia gu de feng hu xiao er guo
但故事的最后你好像还是说了	dan gu shi de zui hou ni hao xiang hai shi shuo le
淡江中学	dan jiang zhong xue
但偏偏风渐渐把距离吹得好远	dan pian pian feng jian jian ba ju li chui de hao yuan
但偏偏雨渐渐把距离吹得好远	dan pian pian yu jian jian ba ju li chui de hao yuan
但偏偏雨渐渐大到我看你不见	dan pian pian yu jian jian da dao wo kan ni bu jian
但是如果没有风它也办不到	dan shi ru guo mei you feng ta ye ban bu dao
但做事做人却很蠢	dan zuo shi zuo ren que hen chun
当古文明只剩下难解的语言	dang gu wen ming zhi sheng xia nan jie de yu yan
当你的时尚顾问别说你不能	dang ni de shi shang gu wen bie shuo ni bu neng
当作我最后才明白	dang zuo wo zui hou cai ming bai
倒带	dao dai
到底还要过多少关	dao di hai yao guo duo shao guan
到底谁是伊	dao di shui shi yi
刀锋边缘	dao feng bian yuan
刀马旦	dao ma dan
刀上的锈却出土的很清楚	dao shang de xiu que chu tu de hen qing chu
稻香	dao xiang
等机会就是要打倒对方	deng ji hui jiu shi yao da dao dui fang
地狱天使	di yu tian shi
点灯泡	dian deng pao
店里面的妈妈桑茶道有三段	dian li mian de ma ma sang cha dao you san duan
电影院的座椅	dian ying yuan de zuo yi
凋谢的石道上命运不堪	diao xie de shi dao shang ming yun bu kan
跌太深爬不出来	die tai shen pa bu chu lai
定时炸弹	ding shi zha dan
东风破	dong feng po
动心	dong xin
都默默地微笑很久	dou mo mo de wei xiao hen jiu
斗牛	dou niu
杜国璋	du guo zhang
断了的弦	duan le de xian
对爱的人接吻要深	dui ai de ren jie wen yao shen
对不起	dui bu qi
对你依依不舍	dui ni yi yi bu she
对着这张海报	dui zhe zhe zhang hai bao
多少年后也还是很好听	duo shao nian hou ye hai shi hen hao ting
多想藏着你的好	duo xiang cang zhe ni de hao
耳边风	er bian feng
二楞子	er leng zi
而你嫣然的一笑如含苞待放	er ni yan ran de yi xiao ru han bao dai fang
而我紧绷的外表像上紧后的发条	er wo jin beng de wai biao xiang shang jin hou de fa tiao
而我路过那江南小镇惹了你	er wo lu guo na jiang nan xiao zhen re le ni
而我心碎你受罪你的美我不配	er wo xin sui ni shou zui ni de mei wo bu pei
而我已经分不清	er wo yi jing fen bu qing
发如雪	fa ru xue
发烫	fa tang
反方向的钟	fan fang xiang de zhong
泛黄的春联还残留在墙上	fan huang de chun lian hai can liu zai qiang shang
反射出儿时天真的嬉戏模样	fan she chu er shi tian zhen de xi xi mu yang
凡事要自己主导	fan shi yao zi ji zhu dao
反手短打再狠狠杀球是高级乒乓	fan shou duan da zai hen hen sha qiu shi gao ji ping pang
范特西	fan te xi
方世杰	fang shi jie
方文山	fang wen shan
放映了三年	fang ying le san nian
飞檐走壁莫奇怪去去就来	fei yan zou bi mo qi guai qu qu jiu lai
份量虽然不多	fen liang sui ran bu duo
分裂	fen lie
疯狂猜歌周杰伦版	feng kuang cai ge zhou jie lun ban
疯狂的城堡像欧洲的情调	feng kuang de cheng bao xiang ou zhou de qing diao
风声不存在是我在感慨	feng sheng bu cun zai shi wo zai gan kai
枫叶将故事染色结局我看透	feng ye jiang gu shi ran se jie ju wo kan tou
腐败的视野我看了太多太多	fu bai de shi ye wo kan le tai duo tai duo
副歌不长你们有几个一起上好了	fu ge bu chang ni men you ji ge yi qi shang hao le
芙蓉水面采船行影犹在	fu rong shui mian cai chuan xing ying you zai
该怎么逃开	gai zen me tao kai
干嘛这样	gan ma zhe yang
感情没有对手戏你跟自己下棋	gan qing mei you dui shou xi ni gen zi ji xia qi
