阿怪	a guai
阿牛	a niu
阿司匹林	a si pi lin
爱到疯	ai dao feng
爱的傀儡	ai de kui lei
爱没有左右	ai mei you zuo you
爱你入骨	ai ni ru gu
爱拼才会赢	ai pin cai hui ying
爱情幼稚	ai qing you zhi
爱情转移	ai qing zhuan yi
爱上你是我眼睛的错	ai shang ni shi wo yan jing de cuo
爱是怀疑	ai shi huai yi
爱是一本书	ai shi yi ben shu
安守本分	an shou ben fen
拔河	ba he
八里公路	ba li gong lu
拜访	bai fang
白玫瑰	bai mei gui
白色球鞋	bai se qiu xie
暴殄天物	bao tian tian wu
贝多芬与我	bei duo fen yu wo
变色龙	bian se long
不良嗜好	bu liang shi hao
不能在等待	bu neng zai deng dai
不求人	bu qiu ren
不然你要我怎么样	bu ran ni yao wo zen me yang
不如不见	bu ru bu jian
不如这样	bu ru zhe yang
不睡	bu shui
不想放手	bu xiang fang shou
不要说话	bu yao shuo hua
不再问究竟	bu zai wen jiu jing
不知所谓	bu zhi suo wei
猜猜寻	cai cai xun
超人的主题曲	chao ren de zhu ti qu
超人迪加	chao ren di jia
陈奕迅	chen yi xun
陈奕迅跨世纪国语精选	chen yi xun kua shi ji guo yu jing xuan
陈奕迅之音乐国度	chen yi xun zhi yin yue guo du
宠爱	chong ai
冲口而出	chong kou er chu
臭美	chou mei
吹微风	chui wei feng
春光乍泄	chun guang zha xie
从未痴心	cong wei chi xin
打得火热	da de huo re
大得太快	da de tai kuai
大个女	da ge nv
打回原形	da hui yuan xing
大激想	da ji xiang
大开眼界	da kai yan jie
单车	dan che
当心中有恋爱感觉	dang xin zhong you lian ai gan jue
当这地球没有花	dang zhe di qiu mei you hua
到此一游	dao ci yi you
倒带人生	dao dai ren sheng
低等动物	di deng dong wu
低调	di diao
第五个现代化	di wu ge xian dai hua
第一个雅皮士	di yi ge ya pi shi
第一类接触	di yi lei jie chu
独居动物	du ju dong wu
对不起谢谢	dui bu qi xie xie
多一点	duo yi dian
二个人的夜晚	er ge ren de ye wan
反高潮	fan gao chao
反正是我	fan zheng shi wo
防不胜防	fang bu sheng fang
放下来	fang xia lai
非走不可	fei zou bu ke
浮城	fu cheng
浮夸	fu kua
富士山下	fu shi shan xia
感动	gan dong
感情约	gan qing yue
个个个个	ge ge ge ge
给爱丽丝	gei ai li si
孤独探戈	gu du tan ge
孤儿仔	gu er zai
故事	gu shi
怪物	guai wu
好久不见	hao jiu bu jian
好聚好散	hao ju hao san
和平饭店	he ping fan dian
黑暗中的漫舞	hei an zhong de man wu
黑白灰	hei bai hui
黑面	hei mian
黑夜不再来	hei ye bu zai lai
黑泽明	hei ze ming
红玫瑰	hong mei gui
后台	hou tai
滑铁卢车站	hua tie lu che zhan
坏情人	huai qing ren
换季	huan ji
黄金时代	huang jin shi dai
谎言	huang yan
汇通天下	hui tong tian xia
婚礼的祝福	hun li de zhu fu
活跃症	huo yue zheng
活着多好	huo zhe duo hao
季军	ji jun
寂寞让你更快乐	ji mo rang ni geng kuai le
寂寞奏鸣曲	ji mo zou ming qu
几许风雨	ji xu feng yu
结束开始	jie shu kai shi
解药	jie yao
今日	jin ri
今天等我来	jin tian deng wo lai
开不了心	kai bu liao xin
快高长大	kuai gao zhang da
快乐男生	kuai le nan sheng
狂热革命	kuang re ge ming
狂人日记	kuang ren ri ji
垃圾	la ji
两名男子街头相遇	liang ming nan zi jie tou xiang yu
路一直都在	lu yi zhi dou zai
落花流水	luo hua liu shui
玛丽奥派对	ma li ao pai dui
美丽谎言	mei li huang yan
美丽有罪	mei li you zui
美满人生	mei man ren sheng
每一个明天	mei yi ge ming tian
没有你	mei you ni
没有手机的日子	mei you shou ji de ri zi
绵绵	mian mian
明年今日	ming nian jin ri
男人的错	nan ren de cuo
你的背包	ni de bei bao
你的陈奕迅国语精选	ni de chen yi xun guo yu jing xuan
你会不会	ni hui bu hui
怕死	pa si
漂亮小姐	piao liang xiao jie
葡萄成熟时	pu tao cheng shu shi
其实我记得	qi shi wo ji de
亲近	qin jin
情诫	qing jie
情深怎么办	qing shen zen me ban
全世界失眠	quan shi jie shi mian
裙下之臣	qun xia zhi chen
然后呢	ran hou ne
然后怎样	ran hou zen yang
热带雨林	re dai yu lin
热岛小夜曲	re dao xiao ye qu
人车志	ren che zhi
人工智能	ren gong zhi neng
人来人往	ren lai ren wang
认了吧	ren le ba
人神斗	ren shen dou
人造卫星	ren zao wei xing
三个人的探戈	san ge ren de tan ge
伤信	shang xin
