埃尔莎	ai er sha
奥康纳	ao kang na
巴瑞	ba rui
保罗	bao luo
保罗沃克	bao luo wo ke
保时捷	bao shi jie
悲情浪子	bei qing lang zi
本田	ben tian
彼此永远忠诚	bi ci yong yuan zhong cheng
变得更坚强了	bian de geng jian qiang le
飙车或者死亡	biao che huo zhe si wang
别逼我做不想做的事	bie bi wo zuo bu xiang zuo de shi
冰原	bing yuan
布莱恩	bu lai en
布莱恩奥康纳	bu lai en ao kang na
布莱恩你答应我	bu lai en ni da ying wo
布莱克	bu lai ke
布鲁斯特	bu lu si te
不然骄兵必败	bu ran jiao bing bi bai
不要轻易放弃他	bu yao qing yi fang qi ta
查德	cha de
查理普斯	cha li pu si
查理兹	cha li zi
敞开心扉倾诉所有	chang kai xin fei qing su suo you
超级坦克	chao ji tan ke
大西洋唱片	da xi yang chang pian
大众途锐	da zhong tu rui
但至少还知道一件事	dan zhi shao hai zhi dao yi jian shi
导弹齐发	dao dan qi fa
道恩	dao en
道奇	dao qi
德卡特	de ka te
德托马索	de tuo ma suo
第一打女	di yi da nv
逗比红棍	dou bi hong gun
多米尼克	duo mi ni ke
法拉利	fa la li
发信器	fa xin qi
翻车爆炸	fan che bao zha
范迪塞尔	fan di sai er
飞车党老大	fei che dang lao da
飞车家族	fei che jia zu
丰田	feng tian
福特野马	fu te ye ma
盖尔加朵	gai er jia duo
盖瑞斯科特	gai rui si ke te
感谢我们所得的选择	gan xie wo men suo de de xuan ze
高科技恐怖主义	gao ke ji kong bu zhu yi
给他们应有的尊重	gei ta men ying you de zun zhong
国际佣兵犯罪集团	guo ji yong bing fan zui ji tuan
过去的生活不复存在	guo qu de sheng huo bu fu cun zai
海伦	hai lun
海维尤	hai wei you
核潜艇破冰攻击	he qian ting po bing gong ji
黑客技术	hei ke ji shu
回头凝望	hui tou ning wang
霍布斯	huo bu si
吉布森	ji bu sen
极客妹子	ji ke mei zi
吉赛尔	ji sai er
继续前行	ji xu qian xing
加里格雷	jia li ge lei
贾鲁尔	jia lu er
姜成镐	jiang cheng gao
杰克	jie ke
杰森	jie sen
尽管这让我很受伤	jin guan zhe rang wo hen shou shang
精湛的车技	jing zhan de che ji
九代三菱	jiu dai san ling
旧款三菱	jiu kuan san ling
