艾莉	ai li
艾琳朵阿拉	ai lin duo a la
艾露克露	ai lu ke lu
艾露克露伯顿	ai lu ke lu bo dun
安利艾特	an li ai te
长谷川平乃	chang gu chuan ping nai
大侦探时代	da zhen tan shi dai
德井青空	de jing qing kong
高城元气	gao cheng yuan qi
根津次郎	gen jin ci lang
怪盗帝国	guai dao di guo
橘田泉	ju tian quan
凯特	kai te
柯蒂妮娅	ke di ni ya
柯蒂妮娅格拉卡	ke di ni ya ge la ka
克拉里斯	ke la li si
来栖索尼娅	lai qi suo ni ya
利帕国	li pa guo
玛丽	ma li
玛普露	ma pu lu
明坂聪美	ming ban cong mei
明智小衣	ming zhi xiao yi
南条爱乃	nan tiao ai nai
妮洛	ni luo
佩洛	pei luo
片冈梓	pian gang zi
钱形次子	qian xing ci zi
让崎妮洛	rang qi ni luo
三森铃子	san sen ling zi
森亚蒂	sen ya di
矢作纱友里	shi zuo sha you li
斯通利巴	si tong li ba
田村由香里	tian cun you xiang li
夏洛克	xia luo ke
夏洛克雪莉福德	xia luo ke xue li fu de
下野纮	xia ye hong
小林优	xiao lin you
小山力也	xiao shan li ye
小西克幸	xiao xi ke xing
小衣	xiao yi
新谷良子	xin gu liang zi
亚森罗森	ya sen luo sen
野中蓝	ye zhong lan
一城美由希	yi cheng mei you xi
鱼板	yu ban
鱼糕	yu gao
远山咲	yuan shan xiao
泽城美雪	ze cheng mei xue
侦都	zhen dou
侦探歌剧	zhen tan ge ju
侦探学院	zhen tan xue yuan
中原麻衣	zhong yuan ma yi
猪哥	zhu ge
佐佐木未来	zuo zuo mu wei lai
