阿澄佳奈	a cheng jia nai
阿福	a fu
白姬	bai ji
白色东西	bai se dong xi
白石真梨	bai shi zhen li
爆破魔女	bao po mo nv
冰尾冻子	bing wei dong zi
不朽魔女	bu xiu mo nv
仓石蒲公英	cang shi pu gong ying
川澄绫子	chuan cheng ling zi
大原沙耶香	da yuan sha ye xiang
地脉	di mai
钉宫理惠	ding gong li hui
冬月高中	dong yue gao zhong
独裁空间	du cai kong jian
多华宫	duo hua gong
多华宫霞	duo hua gong xia
多华宫小町	duo hua gong xiao ding
多华宫仄	duo hua gong ze
饭田友子	fan tian you zi
风音	feng yin
工房结界	gong fang jie jie
工房魔女	gong fang mo nv
公主	gong zhu
骨头龙玩偶	gu tou long wan ou
鬼灯火苗	gui deng huo miao
桂虎彻	gui hu che
黑色施瓦茨塞克斯	hei se shi wa ci sai ke si
黒田友佳	hei tian you jia
火火里风音	huo huo li feng yin
火火里绫火	huo huo li ling huo
井泽诗织	jing ze shi zhi
拷问管	kao wen guan
濑户麻沙美	lai hu ma sha mei
绫火	ling huo
龙牙	long ya
罗藤堡	luo teng bao
麻仓桃	ma cang tao
麻衣	ma yi
茅野爱衣	mao ye ai yi
美杜莎	mei du sha
迷之侦探	mi zhi zhen tan
魔女的使命	mo nv de shi ming
目野轮冥	mu ye lun ming
能登麻美子	neng deng ma mei zi
平野绫	ping ye ling
日冈夏海	ri gang xia hai
塞克斯	sai ke si
三井	san jing
深影恭一郎	shen ying gong yi lang
深影老师	shen ying lao shi
深影魔女家族	shen ying mo nv jia zu
饰铃	shi ling
石眼石手	shi yan shi shou
双面式神	shuang mian shi shen
塔之魔女	ta zhi mo nv
屠熊者	tu xiong zhe
薇科恩德	wei ke en de
夏川椎菜	xia chuan zhui cai
下屋则子	xia wu ze zi
小林裕介	xiao lin yu jie
兴津和幸	xing jin he xing
炎之魔女	yan zhi mo nv
乙女橘凛音	yi nv ju lin yin
永恒朱红	yong heng zhu hong
又吉爱	you ji ai
宇津木环那	yu jin mu huan na
泽城美雪	ze cheng mei xue
召唤冰河时期的魔女	zhao huan bing he shi qi de mo nv
纸质式神	zhi zhi shi shen
