阿罗	a luo
阿罗麦克辛	a luo mai ke xin
阿什丽格林尼	a shen li ge lin ni
爱德华	ai de hua
爱德华卡伦	ai de hua ka lun
爱丽丝	ai li si
埃利斯戴	ai li si dai
爱丽丝卡伦	ai li si ka lun
埃梅特	ai mei te
埃梅特卡伦	ai mei te ka lun
艾蒙	ai meng
艾米丽	ai mi li
埃斯梅	ai si mei
埃斯梅卡伦	ai si mei ka lun
安吉拉	an ji la
保罗	bao luo
贝拉	bei la
贝拉卡伦	bei la ka lun
本杰明	ben jie ming
彼得	bi de
比的费辛利	bi de fei xin li
比利	bi li
比利伯克	bi li bo ke
比利布莱克	bi li bu lai ke
波波斯图尔特	bo bo si tu er te
布莱斯达拉斯霍华德	bu lai si da la si huo hua de
布里	bu li
布里坦纳	bu li tan na
布里坦纳第二次短暂生命	bu li tan na di er ci duan zan sheng ming
查弗丽娜	cha fu li na
查理	cha li
查理布雷	cha li bu lei
查理斯旺	cha li si wang
查斯科斯宾塞	cha si ke si bin sai
达科塔范宁	da ke ta fan ning
大卫斯雷德	da wei si lei de
丹尼尔卡莫	dan ni er ka mo
德米特里	de mi te li
迪亚戈	di ya ge
蒂亚加勒	di ya jia le
恩布里	en bu li
菲利克斯	fei li ke si
福克斯	fu ke si
弗拉德米尔	fu la de mi er
海蒂	hai di
吉尔伯明翰	ji er bo ming han
贾斯帕	jia si pa
贾斯帕黑尔	jia si pa hei er
杰克休斯顿	jie ke xiu si dun
杰克逊拉斯波恩	jie ke xun la si bo en
杰拉德	jie la de
卡叽里	ka ji li
卡莱尔	ka lai er
卡莱尔卡伦	ka lai er ka lun
卡伦	ka lun
卡梅伦布莱特	ka mei lun bu lai te
卡门	ka men
凯比	kai bi
凯厄斯	kai e si
凯厄斯吉米埃贝尔	kai e si ji mi ai bei er
凯南鲁兹	kai nan lu zi
凯特	kai te
康涅狄格州	kang nie di ge zhou
克里斯蒂瑟拉图斯	ke li si di se la tu si
克里斯滕普罗特	ke li si teng pu luo te
克里斯汀斯图尔特	ke li si ting si tu er te
赖利	lai li
赖利比利斯	lai li bi li si
兰德尔	lan de er
劳伦特	lao lun te
勒娜特	le na te
蕾妮	lei ni
蕾妮德尔	lei ni de er
蕾妮斯梅	lei ni si mei
蕾妮斯梅卡里卡伦	lei ni si mei ka li ka lun
蕾切尔李费佛	lei qie er li fei fo
里尔	li er
里尔克里尔沃特	li er ke li er wo te
里尔姆	li er mu
露西	lu xi
罗伯特帕丁森	luo bo te pa ding sen
罗莎莉	luo sha li
罗莎莉黑尔	luo sha li hei er
罗伊斯金	luo yi si jin
玛吉	ma ji
马库斯	ma ku si
马库斯克里斯多夫海达尔	ma ku si ke li si duo fu hai da er
玛丽	ma li
迈克	mai ke
迈克牛顿	mai ke niu dun
迈克韦尔奇	mai ke wei er qi
梅莉莎罗森伯格	mei li sha luo sen bo ge
暮光之城	mu guang zhi cheng
暮色	mu se
妮基瑞德	ni ji rui de
破晓	po xiao
切尔西	qie er xi
塞娜	sai na
塞思	sai si
塞思克里尔沃特	sai si ke li er wo te
沙维尔塞缪尔	sha wei er sai miu er
山姆	shan mu
山姆乌利	shan mu wu li
史蒂芬	shi di fen
斯蒂芬妮	si di fen ni
泰勒洛特纳	tai le luo te na
坦尼娅	tan ni ya
婷塞尔柯瑞	ting sai er ke rui
维多利亚	wei duo li ya
维纳尔	wei na er
沃尔图里	wo er tu li
沃尔图里家族	wo er tu li jia zu
沃特拉	wo te la
午夜阳光	wu ye yang guang
希奥布翰	xi ao bu han
吸血新世纪	xi xue xin shi ji
夏洛特	xia luo te
新月	xin yue
休伊伦	xiu yi lun
雅各布	ya ge bu
雅各布布莱克	ya ge bu bu lai ke
亚力克	ya li ke
亚历克斯莫拉兹	ya li ke si mo la zi
伊里尔	yi li er
伊莉莎白里瑟	yi li sha bai li se
伊莎贝拉	yi sha bei la
月食	yue shi
詹姆斯	zhan mu si
